Código Institución,Nombre Institución,Número Identificación Tributaria - NIT,Principal/Seccional,Naturaleza Jurídica,Sector,Carácter Académico,Cod Departamento,Departamento Domicilio,Cod Municipio,Municipio Domicilio,Dirección Domicilio,Teléfono Domicilio,Norma de Creación,Fecha Norma de Creación,¿Acreditada Alta Calidad?,Fecha Acreditación,Resolución de la acreditación,Vigencia de la acreditación,Estado,Fecha Actualizacion,Página Web
1729,UNIVERSIDAD EL BOSQUE,860.066.789-6,Principal,Fundación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,Bogotá D.C.,Av. Cra 9 No. 131 A - 02 Edificio Fundadores,6489000,Resolución 11153 MINISTERIO DE EDUCACION NACIONAL,4/08/1978,SI,17/07/2020,13172,6,Activa en la Fecha de Actualizacion,9/09/2021,www.unbosque.edu.co
1730,UNIVERSIDAD PONTIFICIA BOLIVARIANA,890.902.922-6,Seccional,Fundación,Privado,Universidad,Valle del Cauca,Valle del Cauca,,Palmira,Km 1 V¿a Tienda Nueva Edif. Seminario Cristo Sacerdote Piso 2,2759370,Resolución 48 MINISTERIO DE GOBIERNO.,28/02/1937,SI,24/10/2018,17228,6,Activa en la Fecha de Actualizacion,9/09/2021,www.upb.edu.co
1731,UNIVERSIDAD CATOLICA DE COLOMBIA,860.028.971,Seccional,Fundación,Privado,Universidad,Cundinamarca,Cundinamarca,,Chía,Km. 21 Vía Carrera 7 La Caro,6766071,Resolución 2271 MINISTERIO DE JUSTICIA,7/07/1970,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.ucatolica.edu.co
1732,UNIVERSIDAD SANTO TOMAS,860.012.357-6,Seccional,Fundación,Privado,Universidad,Boyacá,Boyacá,,Tunja,Calle 19 No. 11 - 64 Centro,7440404,Resolución 3645 MINISTERIO DE JUSTICIA,6/08/1965,SI,29/01/2016,1456,6,Activa en la Fecha de Actualizacion,9/09/2021,www.ustatunja.edu.co
1733,UNIVERSIDAD SERGIO ARBOLEDA,860.351.894 -3,Seccional,Fundación,Privado,Universidad,Magdalena,Magdalena,,Santa Marta,Calle 18 Carrera 15  Esquina,4203838,Resolución 16377 MINISTERIO DE EDUCACION NACIONAL,29/10/1984,SI,5/04/2019,3659,6,Activa en la Fecha de Actualizacion,9/09/2021,www.usergioarboleda.edu.co/santamarta
1734,UNIVERSIDAD DE BOYACA UNIBOYACA,891.801.101-6,Principal,Fundación,Privado,Universidad,Boyacá,Boyacá,,Tunja,Carrera 2a. Este No. 64-169,7450044,Resolución 6553 MINISTERIO DE EDUCACION NACIONAL,25/05/1981,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.uniboyaca.edu.co
1735,UNIVERSIDAD MANUELA BELTRAN-UMB-,860.517.647-5,Principal,Fundación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,Bogotá D.C.,Avenida Circunvalar No. 60 - 00,5460600,Resolución 11110 MINISTERIO DE EDUCACION NACIONAL,13/07/1983,SI,27/12/2019,2710,4,Activa en la Fecha de Actualizacion,9/09/2021,www.umb.edu.co
1801,UNIVERSIDAD LA GRAN COLOMBIA,860.015.685,Principal,Corporación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,Bogotá D.C.,Carrera 6 No. 13-40,3276999,Resolución 47 MINISTERIO DE JUSTICIA,25/09/1953,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.ugc.edu.co
1802,UNIVERSIDAD LA GRAN COLOMBIA,860.015.685,Seccional,Corporación,Privado,Universidad,Quindío,Quindío,,Armenia,Av. Bolivar  Carrera 14 No. 7-46,7460400,Resolución 47 MINISTERIO DE JUSTICIA,25/09/1953,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.ugcarmen.edu.co
1803,UNIVERSIDAD DE LA SALLE,860.015.542-6,Principal,Corporación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,Bogotá D.C.,Cra.5  59A-44,3488000,Resolución 597 MINISTERIO DE JUSTICIA,12/02/1965,SI,22/03/2019,2955,8,Activa en la Fecha de Actualizacion,9/09/2021,www.lasalle.edu.co
1804,UNIVERSIDAD AUTONOMA DEL CARIBE- UNIAUTONOMA,8901025729,Principal,Corporación,Privado,Universidad,Atlántico,Atlántico,,Barranquilla,Calle 90  46-112,3671000,Resolución 303 GOBERNACION DEPARTAMENTO DEL ATLANTICO,3/04/1967,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.uac.edu.co
1805,UNIVERSIDAD SANTIAGO DE CALI,890.303.797-1,Principal,Corporación,Privado,Universidad,Valle del Cauca,Valle del Cauca,,Cali,Carrera 62 Calle 5 Campus Pampalinda,5183000,Resolución 2800 MINISTERIO DE JUSTICIA,2/09/1959,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.usc.edu.co
1806,UNIVERSIDAD LIBRE,860.013.798-5,Principal,Corporación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,Bogotá D.C.,Calle 8 No. 5-80,3821000,Resolución 192 MINISTERIO DE GOBIERNO.,27/06/1946,SI,16/08/2016,16892,5,Activa en la Fecha de Actualizacion,9/09/2021,www.unilibre.edu.co
1807,UNIVERSIDAD LIBRE,860.013.798-5,Seccional,Corporación,Privado,Universidad,Valle del Cauca,Valle del Cauca,,Cali,Diagonal 37A No. 3-29  Santa Isabel,5578128,Resolución 192 MINISTERIO DE GOBIERNO.,27/06/1946,SI,16/08/2016,16892,5,Activa en la Fecha de Actualizacion,9/09/2021,www.unilibrecali.edu.co
1808,UNIVERSIDAD LIBRE,860.013.798-5,Seccional,Corporación,Privado,Universidad,Atlántico,Atlántico,,Barranquilla,Km. 7 antigua vía Puerto Colombia,3598915,Resolución 192 MINISTERIO DE GOBIERNO.,27/06/1946,SI,22/08/2016,16892,5,Activa en la Fecha de Actualizacion,9/09/2021,www.unilibrebaq.edu.co
1809,UNIVERSIDAD LIBRE,860.013.798-5,Seccional,Corporación,Privado,Universidad,Risaralda,Risaralda,,Pereira,Calle 40 Nº 7-30,3366019,Resolución 192 MINISTERIO DE GOBIERNO,27/06/1946,SI,22/08/2016,16892,5,Activa en la Fecha de Actualizacion,9/09/2021,www.unilibrepereira.edu.co
1810,UNIVERSIDAD LIBRE,860.013.798-5,Seccional,Corporación,Privado,Universidad,Norte de Santander,Norte de Santander,,San José de Cúcuta,Av. Canal Bogotá Margen Izquierdo Intersección Benjamín Herrera,5790896,Resolución 192 MINISTERIO DE GOBIERNO.,27/06/1946,SI,22/08/2016,16892,5,Activa en la Fecha de Actualizacion,9/09/2021,www.unilibrecucuta.edu.co
1811,UNIVERSIDAD LIBRE,860.013.798-5,Seccional,Corporación,Privado,Universidad,Santander,Santander,,Socorro,Campus Universitario Majavita,7296945,Resolución 192 MINISTERIO DE GOBIERNO,27/06/1946,SI,16/09/2016,16892,5,Activa en la Fecha de Actualizacion,9/09/2021,www.unilibresoc.edu.co
1812,UNIVERSIDAD DE MEDELLIN,890.902.920-1,Principal,Corporación,Privado,Universidad,Antioquia,Antioquia,,Medellín,Carrera 87 No. 30-65 Los Alpes,3405555,Resolución 103 MINISTERIO DE JUSTICIA,31/07/1950,SI,30/04/2021,7470,6,Activa en la Fecha de Actualizacion,9/09/2021,www.udem.edu.co
1813,UNIVERSIDAD DE LOS ANDES,860.007.386-1,Principal,Corporación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,Bogotá D.C.,Carrera 1 No. 18A-70,3394949,Resolución 28 MINISTERIO DE JUSTICIA.,23/02/1949,SI,9/01/2015,582,10,Activa en la Fecha de Actualizacion,9/09/2021,www.uniandes.edu.co
1814,UNIVERSIDAD AUTONOMA LATINOAMERICANA-UNAULA-,890905456-9,Principal,Corporación,Privado,Universidad,Antioquia,Antioquia,,Medellín,Carrera 55A  49 - 51,5112199,Resolución 203 GOBIERNO DEPARTAMENTAL DE ANTIOQUIA,30/10/1968,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.unaula.edu.co
1815,CORPORACION UNIVERSIDAD PILOTO DE COLOMBIA,860.022.382-3,Principal,Corporación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,Bogotá D.C.,Carrera  9  45A-44,3322900,Resolución 3681 MINISTERIO DE JUSTICIA.,27/11/1962,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.unipiloto.edu.co
1816,UNIVERSIDAD COOPERATIVA DE COLOMBIA,860.029.924-7,Seccional,Corporación,Privado,Universidad,Antioquia,Antioquia,,Medellín,Calle 50  41-70,2391100,No informa SIN DATO SIN DATO,28/01/3916,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.ucc.edu.co
1817,UNIVERSIDAD COOPERATIVA DE COLOMBIA,860.029.924-7,Seccional,Corporación,Privado,Universidad,Santander,Santander,,Bucaramanga,Calle 30A  33-51,343825,No informa SIN DATO SIN DATO,28/01/3916,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.ucc.edu.co
1818,UNIVERSIDAD COOPERATIVA DE COLOMBIA,860.029.924-7,Principal,Corporación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,Bogotá D.C.,Av. Caracas  No. 44-21 Recibo Correspondencia: Av. Caracas No. 37-63,3323565,No informa SIN DATO SIN DATO,28/01/3916,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.ucc.edu.co
1819,UNIVERSIDAD COOPERATIVA DE COLOMBIA,860.029.924-7,Seccional,Corporación,Privado,Universidad,Santander,Santander,,Barrancabermeja,Calle 57 entre carrerras 24 y 27 Barrio G,213277,No informa SIN DATO SIN DATO,28/01/3916,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,ucc.edu.co
1820,UNIVERSIDAD COOPERATIVA DE COLOMBIA,860.029.924-7,Seccional,Corporación,Privado,Universidad,Magdalena,Magdalena,,Santa Marta,Troncal del Caribe Sector Mamatoco,4331715,No informa SIN DATO SIN DATO,28/01/3916,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.ucc.edu.co
1822,CORPORACION UNIVERSIDAD PILOTO DE COLOMBIA,860.022.382-3,Seccional,Corporación,Privado,Universidad,Cundinamarca,Cundinamarca,,Girardot,Cra. 19  17-33 Barrio Las Quintas,8332845,Resolución 3681 MINISTERIO DE JUSTICIA.,27/11/1962,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.unipiloto.edu.co
1823,UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-,890.200.499-9,Principal,Corporación,Privado,Universidad,Santander,Santander,,Bucaramanga,Calle 48  39-234,6436111,Resolución 3284 MINISTERIO DE JUSTICIA,21/12/1956,SI,25/05/2017,10820,6,Activa en la Fecha de Actualizacion,9/09/2021,www.unab.edu.co
1824,UNIVERSIDAD METROPOLITANA,890.105.361-5,Principal,Corporación,Privado,Universidad,Atlántico,Atlántico,,Barranquilla,Calle 76 No. 42-78,3587889,Resolución 1052 MINISTERIO DE JUSTICIA,25/02/1974,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.unimetro.edu.co
1825,UNIVERSIDAD AUTONOMA DE MANIZALES,890.805.051-0,Principal,Corporación,Privado,Universidad,Caldas,Caldas,,Manizales,Antigua Estacion del Ferocarril,8727272,Resolución 1549 MINISTERIO DE EDUCACION NACIONAL,25/02/1981,SI,6/09/2019,9527,6,Activa en la Fecha de Actualizacion,9/09/2021,www.autonoma.edu.co
1826,UNIVERSIDAD ANTONIO NARIÑO,860.056.070-7,Principal,Corporación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,Bogotá D.C.,Carrera 38  58 A 77,3152973,Resolución 4571 Ministerio de Educaci¿n Nacional,24/05/1977,SI,22/04/2019,4141,4,Activa en la Fecha de Actualizacion,9/09/2021,www.uan.edu.co
1827,UNIVERSIDAD CATOLICA DE MANIZALES,890806477-9,Principal,Corporación,Privado,Universidad,Caldas,Caldas,,Manizales,Carrera 23  60-63,8933050,Decreto 271 ARQUIDIOCESIS DE MANIZALES,19/06/1962,SI,9/12/2019,13600,4,Activa en la Fecha de Actualizacion,9/09/2021,www.ucm.edu.co
1828,UNIVERSIDAD ICESI,890.316.745-5,Principal,Corporación,Privado,Universidad,Valle del Cauca,Valle del Cauca,,Cali,Calle 18 No.122-135 (Pance),5552369,Resolución 11677 MINISTERIO DE EDUCACION NACIONAL,12/07/1979,SI,18/02/2015,591,6,Activa en la Fecha de Actualizacion,9/09/2021,www.icesi.edu.co
1829,UNIVERSIDAD SANTIAGO DE CALI,8903037971,Seccional,Corporación,Privado,Universidad,Valle del Cauca,Valle del Cauca,,Palmira,Carrera 30 Calle 38 Esquina,2712617,Resolución 2800 MINISTERIO DE JUSTICIA,2/09/1959,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.usc.edu.co/palmira
1830,UNIVERSIDAD AUTONOMA DE OCCIDENTE,890.305.881-1,Principal,Corporación,Privado,Universidad,Valle del Cauca,Valle del Cauca,,Cali,Calle 25 115 - 85  Km. 2 Vía Jamundí,3188000,Resolución 618 GOBERNACION DEL VALLE,20/02/1970,SI,24/08/2017,16740,4,Activa en la Fecha de Actualizacion,9/09/2021,www.uao.edu.co
1831,UNIVERSIDAD DE IBAGUE,890.704.382-1,Principal,Corporación,Privado,Universidad,Tolima,Tolima,,Ibagué,Barrio Ambala Carrera 22 Calle 67,2760010,Resolución 1867 MINISTERIO DE EDUCACION NACIONAL,27/02/1981,SI,3/10/2019,10440,4,Activa en la Fecha de Actualizacion,9/09/2021,www.unibague.edu.co
1832,UNIVERSIDAD TECNOLOGICA DE BOLIVAR,890.401.962,Principal,Corporación,Privado,Universidad,Bolívar,Bolívar,,Cartagena de Indias,Campus de Ternera Vía a Turbaco Km. 1,6535200,Resolución 961 GOBERNACION DEL DEPARTAMENTO DE BOLIVAR,26/10/1970,SI,24/04/2019,4182,4,Activa en la Fecha de Actualizacion,9/09/2021,www.unitecnologica.edu.co
1833,UNIVERSIDAD DEL SINU - ELIAS BECHARA ZAINUM - UNISINU -,891.000.692-1,Principal,Corporación,Privado,Universidad,Córdoba,Córdoba,,Montería,Carrera 1W Calle 38 Barrio Juan XXIII,7840340,Resolución 12154 MINISTERIO DE EDUCACION NACIONAL.,27/10/1977,SI,13/06/2019,6197,4,Activa en la Fecha de Actualizacion,9/09/2021,www.unisinu.edu.co
1834,UNIVERSIDAD DEL SINU - ELIAS BECHARA ZAINUM - UNISINU -,891.000.692-1,Seccional,Corporación,Privado,Universidad,Bolívar,Bolívar,,Cartagena de Indias,Calle 30 No. 20 -71,6562403,Resolución 12154 MINISTERIO DE EDUCACION NACIONAL.,27/10/1977,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.unisinucartagena.edu.co
1835,UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES - UDCA,860.403.721.2,Principal,Corporación,Privado,Universidad,Bogotá D.C.,Bogotá D.C.,,Bogotá D.C.,Calle 222  54-37,6684700,Resolución 7392 MINISTERIO DE EDUCACION NACIONAL,20/05/1983,SI,27/12/2019,17390,4,Activa en la Fecha de Actualizacion,9/09/2021,www.udca.edu.co
2102,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD,860.512.780-4,Principal,Nacional,Oficial,Universidad,Bogotá D.C.,Bogotá D.C.,,Bogotá D.C.,Calle 14 No 14-23 Sur,3443700,Ley 52 Congreso de Colombia,7/07/1981,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.unad.edu.co
2104,ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA-ESAP-,899.999.054-7,Principal,Nacional,Oficial,Institución Universitaria/Escuela Tecnológica,Bogotá D.C.,Bogotá D.C.,,Bogotá D.C.,Calle 44 # 53 - 37 CAN,2202790,Ley 19 Congreso de la Republica,18/12/1958,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.esap.edu.co
2106,DIRECCION NACIONAL DE ESCUELAS,900373379-0,Principal,Nacional,Oficial,Institución Universitaria/Escuela Tecnológica,Bogotá D.C.,Bogotá D.C.,,Bogotá D.C.,Transversal 33 47A-35 Sur Barrio F¿tima,3159136,Ley 14 Congreso de Colombia,8/09/1919,SI,29/12/2017,29498,4,Activa en la Fecha de Actualizacion,9/09/2021,www.policia.edu.co
2110,COLEGIO MAYOR DE ANTIOQUIA,890.980.134-1,Principal,Municipal,Oficial,Institución Universitaria/Escuela Tecnológica,Antioquia,Antioquia,,Medellín,Calle 65  77-126 Robledo,4225252,Ley 48 Congreso de Colombia,17/12/1945,SI,17/07/2020,13165,6,Activa en la Fecha de Actualizacion,9/09/2021,www.colmayor.edu.co
2111,ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA-ESAP-,899.999.054-7,Seccional,Nacional,Oficial,Institución Universitaria/Escuela Tecnológica,Antioquia,Antioquia,,Medellín,Calle 56 (Bolivia)  45-34,2543780,Ley 19 Congreso de la Republica.,18/12/1958,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.esap.edu.co
2114,ESCUELA NACIONAL DEL DEPORTE,805.001.868,Principal,Municipal,Oficial,Institución Universitaria/Escuela Tecnológica,Valle del Cauca,Valle del Cauca,,Cali,Calle  9  34-01,566411,Decreto 3115 Gobierno Nacional.,21/12/1984,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.endeporte.edu.co
2206,INSTITUTO DEPARTAMENTAL DE BELLAS ARTES,890.325.989-3,Principal,Departamental,Oficial,Institución Universitaria/Escuela Tecnológica,Valle del Cauca,Valle del Cauca,,Cali,Avenida 2a. Norte  7N-28,4883030,Ordenanza 8 Asamblea Departamental del Valle,16/09/1936,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.bellasartes.edu.co
2207,INSTITUTO UNIVERSITARIO DE LA PAZ,800.024.581-3,Principal,Departamental,Oficial,Institución Universitaria/Escuela Tecnológica,Santander,Santander,,Barrancabermeja,Centro de Investigaciones Santa Lucia Kim. 14 via Bucaramanga,6025185,No informa 331 Gobernacion de Santander,19/11/1987,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.unipaz.edu.co
2208,CONSERVATORIO DEL TOLIMA,890.700.906-0,Principal,Departamental,Oficial,Institución Universitaria/Escuela Tecnológica,Tolima,Tolima,,Ibagué,Calle 9  1-18,2613118,Ordenanza 42 Asamblea del Tolima.,10/12/1980,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.conservatoriodeltolima.edu.co
2209,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,890.980.136-6,Principal,Departamental,Oficial,Institución Universitaria/Escuela Tecnológica,Antioquia,Antioquia,,Medellín,Carrera 48  7-151,3105133,Decreto 33 Gobierno Departamental de Antioquia,27/01/1964,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.politecnicojic.edu.co
2211,INSTITUCION UNIVERSITARIA BELLAS ARTES Y CIENCIAS DE BOLIVAR,890.480.308-0,Principal,Departamental,Oficial,Institución Universitaria/Escuela Tecnológica,Bolívar,Bolívar,,Cartagena de Indias,Carrera 9 No.39-12,6600391,Ordenanza 35 Asamblea Departamental de Bolivar.,3/12/1990,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.unibac.edu.co
2301,UNIDAD CENTRAL DEL VALLE DEL CAUCA,891.900.853-0,Principal,Municipal,Oficial,Institución Universitaria/Escuela Tecnológica,Valle del Cauca,Valle del Cauca,,Tuluá,Carrera 27 A No.48-144 Km.1 salida Sur Tulu¿,2242200,Acuerdo 24 Concejo Municipal de Tulua.,30/06/1971,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.uceva.edu.co
2302,INSTITUCION UNIVERSITARIA DE ENVIGADO,811.000.278-2,Principal,Municipal,Oficial,Institución Universitaria/Escuela Tecnológica,Antioquia,Antioquia,,Envigado,Cra. 27B N¿ 39 A sur 57,3391010,Acuerdo 44 Concejo Municipal de Envigado.,28/01/3916,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.iue.edu.co
2701,INSTITUCION UNIVERSITARIA COLEGIOS DE COLOMBIA - UNICOC,NO INFORMA,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Bogotá D.C.,Bogotá D.C.,,Bogotá D.C.,Carrera 9  13-40 Piso 4,6683535,Resolución 1384 MINISTERIO DE EDUCACION NACIONAL.,1/04/1975,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.odontologico.edu.co
2702,FUNDACION UNIVERSITARIA DE CIENCIAS DE LA SALUD,860051853-4,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Bogotá D.C.,Bogotá D.C.,,Bogotá D.C.,Carrera 19  8A-32,4375401,Resolución 10917 MINISTERIO DE EDUCACION NACIONAL.,1/12/1976,SI,9/12/2019,13601,4,Activa en la Fecha de Actualizacion,9/09/2021,www.fucsalud.edu.co
2704,COLEGIO DE ESTUDIOS SUPERIORES DE ADMINISTRACION-CESA-,860.045.740,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Bogotá D.C.,Bogotá D.C.,,Bogotá D.C.,Calle 35 No. 6-16,3395300,Resolución 5157 MINISTERIO DE EDUCACION NACIONAL.,29/08/1975,SI,25/11/2019,12334,4,Activa en la Fecha de Actualizacion,9/09/2021,www.cesa.edu.co
2707,FUNDACIÓN UNIVERSITARIA JUAN N. CORPAS,860.038.374-4,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Bogotá D.C.,Bogotá D.C.,,Bogotá D.C.,Carrera 111 No. 159 A 61 (Av. Corpas Km. 3 Suba),6813085,Resolución 2105 MINISTERIO DE EDUCACION NACIONAL.,29/03/1974,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.juancorpas.edu.co
2708,UNIVERSIDAD CES,890.984.002-6,Principal,Fundación,Privado,Universidad,Antioquia,Antioquia,,Medellín,Calle 10A  22-04,4440555,Resolución 11154 MINISTERIO DE EDUCACION NACIONAL.,4/08/1978,SI,9/12/2019,13602,6,Activa en la Fecha de Actualizacion,9/09/2021,www.ces.edu.co
2709,FUNDACION UNIVERSITARIA SAN MARTIN,860.503.634-9,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Bogotá D.C.,Bogotá D.C.,,Bogotá D.C.,Carrera 18 No. 80-45,5301001,Resolución 12387 MINISTERIO DE EDUCACION NACIONAL.,18/08/1981,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.sanmartin.edu.co
2710,FUNDACION UNIVERSITARIA MONSERRATE -UNIMONSERRATE,860.513.077-9,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Bogotá D.C.,Bogotá D.C.,,Bogotá D.C.,Calle 72  11-41,2494959,Resolución 1381 MINISTERIO DE EDUCACION NACIONAL.,3/02/1983,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.unimonserrate.edu.co
2711,UNIVERSIDAD CATOLICA DE PEREIRA,891.408.261,Principal,Fundación,Privado,Universidad,Risaralda,Risaralda,,Pereira,Avenida de las Américas Cra. 21  49-95,3124000,Resolución 10918 MINISTERIO DE EDUCACION NACIONAL.,1/12/1976,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.ucpr.edu.co
2712,FUNDACION UNIVERSITARIA KONRAD LORENZ,860.504.759-5,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Bogotá D.C.,Bogotá D.C.,,Bogotá D.C.,Carrera 9 Bis  62-43,3472311,Resolución 18537 MINISTERIO DE EDUCACION NACIONAL.,4/11/1981,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.konradlorenz.edu.co
2713,FUNDACION UNIVERSITARIA LOS LIBERTADORES,NO INFORMA,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Bogotá D.C.,Bogotá D.C.,,Bogotá D.C.,Carrera 16  63A-68,2544750,Resolución 7542 MINISTERIO DE EDUCACION NACIONAL,18/05/1982,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,No disponible
2715,FUNDACION UNIVERSITARIA DE POPAYAN,891.501.835-6,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Cauca,Cauca,,Popayán,Los Robles Km.. 8 vía al Sur,8238025,Resolución 10161 MINISTERIO DE EDUCACION NACIONAL.,28/06/1983,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.fup.edu.co
2719,UNIVERSIDAD CATÓLICA LUIS AMIGÓ,890.985.189-9,Principal,Fundación,Privado,Universidad,Antioquia,Antioquia,,Medellín,Transversal  51A  67B - 90,4487666,Resolución 17701 MINISTERIO DE EDUCACION NACIONAL.,9/11/1984,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.ucatolicaluisamigo.edu.co
2720,FUNDACION UNIVERSITARIA JUAN DE CASTELLANOS,800057330 -3,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Boyacá,Boyacá,,Tunja,Carrera 11 11-16,7470333,Resolución 2085 MINISTERIO DE EDUCACION NACIONAL,24/03/1987,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.jdc.edu.co
2721,FUNDACION UNIVERSITARIA MARIA CANO,800.036.781-1,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Antioquia,Antioquia,,Medellín,Calle 56  41-90,4025500,Resolución 17996 MINISTERIO DE EDUCACION NACIONAL,17/11/1987,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.fumc.edu.co
2722,FUNDACION CENTRO UNIVERSITARIO DE BIENESTAR RURAL,800053190-0,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Cauca,Cauca,,Puerto Tejada,Vereda Periconegro,NA,Resolución 9111 MINISTERIO DE EDUCACION NACIONAL,11/07/1988,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.cubr.edu.co
2723,FUNDACION UNIVERSITARIA AGRARIA DE COLOMBIA -UNIAGRARIA-,860531081-5,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Bogotá D.C.,Bogotá D.C.,,Bogotá D.C.,Calle 170 No. 54 A -10,6671515,Resolución 2599 MINISTERIO DE EDUCACION NACIONAL.,13/03/1986,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.uniagraria.edu.co
2724,FUNDACION UNIVERSITARIA DE SAN GIL - UNISANGIL -,800.152.840-4,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Santander,Santander,,San Gil,Km. 2  via San Gil - Charal¿,7245757,Resolución 10989 MINISTERIO DE EDUCACION NACIONAL,18/10/1991,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.unisangil.edu.co
2725,POLITECNICO GRANCOLOMBIANO,860.078.643-1,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Bogotá D.C.,Bogotá D.C.,,Bogotá D.C.,Calle 57  3-00 Este,7455555,Resolución 19349 MINISTERIO DE EDUCACION NACIONAL,4/11/1980,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.poli.edu.co
2727,FUNDACION UNIVERSITARIA-CEIPA-,890910961-7,Principal,Fundación,Privado,Institución Universitaria/Escuela Tecnológica,Antioquia,Antioquia,,Sabaneta,Calle 77 sur No. 40 -165,3056100,Resolución 6266 MINISTERIO DE EDUCACION NACIONAL.,4/05/1983,NO,NA,NA,NA,Activa en la Fecha de Actualizacion,9/09/2021,www.ceipa.edu.co
